Loading dataset...
Classes: 46  Images: 18764
Loading model...
>>> SUCCESS: Resumed from last known checkpoint (backend/ml_models/best.pt)
>>> PHASE SYNC: Unfrozen state activated for Epoch 11
Training resumed from Epoch 11. Each epoch shows progress.
  Ep11 batch 0/880 train_acc=1.000
  Ep11 batch 20/880 train_acc=0.994
  Ep11 batch 40/880 train_acc=0.997
  Ep11 batch 60/880 train_acc=0.997
  Ep11 batch 80/880 train_acc=0.998
  Ep11 batch 100/880 train_acc=0.997
  Ep11 batch 120/880 train_acc=0.995
  Ep11 batch 140/880 train_acc=0.995
  Ep11 batch 160/880 train_acc=0.995
  Ep11 batch 180/880 train_acc=0.995
  Ep11 batch 200/880 train_acc=0.995
  Ep11 batch 220/880 train_acc=0.995
  Ep11 batch 240/880 train_acc=0.995
  Ep11 batch 260/880 train_acc=0.994
  Ep11 batch 280/880 train_acc=0.993
  Ep11 batch 300/880 train_acc=0.993
  Ep11 batch 320/880 train_acc=0.992
  Ep11 batch 340/880 train_acc=0.992
  Ep11 batch 360/880 train_acc=0.992
  Ep11 batch 380/880 train_acc=0.992
  Ep11 batch 400/880 train_acc=0.992
  Ep11 batch 420/880 train_acc=0.992
  Ep11 batch 440/880 train_acc=0.992
  Ep11 batch 460/880 train_acc=0.992
  Ep11 batch 480/880 train_acc=0.992
  Ep11 batch 500/880 train_acc=0.992
  Ep11 batch 520/880 train_acc=0.992
  Ep11 batch 540/880 train_acc=0.992
  Ep11 batch 560/880 train_acc=0.992
  Ep11 batch 580/880 train_acc=0.992
  Ep11 batch 600/880 train_acc=0.992
  Ep11 batch 620/880 train_acc=0.992
  Ep11 batch 640/880 train_acc=0.992
  Ep11 batch 660/880 train_acc=0.992
  Ep11 batch 680/880 train_acc=0.993
  Ep11 batch 700/880 train_acc=0.993
  Ep11 batch 720/880 train_acc=0.993
  Ep11 batch 740/880 train_acc=0.993
  Ep11 batch 760/880 train_acc=0.993
  Ep11 batch 780/880 train_acc=0.993
  Ep11 batch 800/880 train_acc=0.993
  Ep11 batch 820/880 train_acc=0.993
  Ep11 batch 840/880 train_acc=0.993
  Ep11 batch 860/880 train_acc=0.993
EPOCH 11/25 val_acc=0.9957
  SAVED best=0.9957
  Ep12 batch 0/880 train_acc=1.000
  Ep12 batch 20/880 train_acc=0.988
  Ep12 batch 40/880 train_acc=0.991
  Ep12 batch 60/880 train_acc=0.992
  Ep12 batch 80/880 train_acc=0.992
  Ep12 batch 100/880 train_acc=0.993
  Ep12 batch 120/880 train_acc=0.993
  Ep12 batch 140/880 train_acc=0.993
  Ep12 batch 160/880 train_acc=0.993
  Ep12 batch 180/880 train_acc=0.993
  Ep12 batch 200/880 train_acc=0.993
  Ep12 batch 220/880 train_acc=0.993
  Ep12 batch 240/880 train_acc=0.992
  Ep12 batch 260/880 train_acc=0.992
  Ep12 batch 280/880 train_acc=0.992
  Ep12 batch 300/880 train_acc=0.992
  Ep12 batch 320/880 train_acc=0.991
  Ep12 batch 340/880 train_acc=0.992
  Ep12 batch 360/880 train_acc=0.992
  Ep12 batch 380/880 train_acc=0.992
  Ep12 batch 400/880 train_acc=0.992
  Ep12 batch 420/880 train_acc=0.992
  Ep12 batch 440/880 train_acc=0.992
  Ep12 batch 460/880 train_acc=0.992
  Ep12 batch 480/880 train_acc=0.992
  Ep12 batch 500/880 train_acc=0.992
  Ep12 batch 520/880 train_acc=0.992
  Ep12 batch 540/880 train_acc=0.992
  Ep12 batch 560/880 train_acc=0.992
  Ep12 batch 580/880 train_acc=0.992
  Ep12 batch 600/880 train_acc=0.992
  Ep12 batch 620/880 train_acc=0.992
  Ep12 batch 640/880 train_acc=0.992
  Ep12 batch 660/880 train_acc=0.992
  Ep12 batch 680/880 train_acc=0.992
  Ep12 batch 700/880 train_acc=0.992
  Ep12 batch 720/880 train_acc=0.992
  Ep12 batch 740/880 train_acc=0.992
  Ep12 batch 760/880 train_acc=0.992
